sbm_id,expr_id,cond_id,para_nr,word_nr,word,duration,start_t,end_t,x_mean,y_mean,response
119,1,1,1,0, Hëna ,358,2190,2548,640.86,138.57,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,1, është ,198,2548,2746,696,139,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,2, sateliti ,202,2746,2948,755,139,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,4, vetëm ,298,2948,3246,813.5,140.17,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,5, natyror ,293,3246,3539,870.67,143.83,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,7, Tokës. ,509,3589,4098,939.8,139,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,8, Ajo ,199,4098,4297,983.75,135.25,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,9, rrotullohet ,443,4297,4740,1044,139.56,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,10, rreth ,257,4740,4997,1101.8,144,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,11, Tokës ,250,4997,5247,1153,144,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,13, një ,200,5297,5497,1213.25,138.75,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,14, distancë ,404,6092,6496,675.25,178.75,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,15, mesatare ,249,6496,6745,740.2,178,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,17,384400,349,6847,7196,838.71,178,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,19, (238900 ,298,7348,7646,941.5,178,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,21,1.28,250,7798,8048,1024.6,176.8,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,23, ose ,192,8197,8389,1095,176,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
119,1,1,1,24, rreth ,302,8389,8691,1128.33,176,Për shkak të masës së madhe dhe gravitetit sipërfaqësor të saj
