responseTime,Experiment,Condition,ItemId,Index,Word,mousePositionX,mousePositionY,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
304,1.0,1.0,1.0,21.0, 1.28 ,1005.0,173.0,163.03125,1002.625,183.03125,1042.671875,,,,1733241835408.0,1733242333242.0,497834.0,15,15
1056,1.0,1.0,1.0,-1.0,,585.0,120.0,,,,,,,,,,,15,15
1108,1.0,1.0,1.0,-1.0,,575.0,134.0,,,,,,,,,,,15,15
1157,1.0,1.0,1.0,-1.0,,579.0,136.0,,,,,,,,,,,15,15
1208,1.0,1.0,1.0,-1.0,,594.0,131.0,,,,,,,,,,,15,15
1258,1.0,1.0,1.0,-1.0,,598.0,128.0,,,,,,,,,,,15,15
1307,1.0,1.0,1.0,-1.0,,600.0,127.0,,,,,,,,,,,15,15
1359,1.0,1.0,1.0,-1.0,,606.0,127.0,,,,,,,,,,,15,15
1409,1.0,1.0,1.0,-1.0,,609.0,127.0,,,,,,,,,,,15,15
1458,1.0,1.0,1.0,-1.0,,611.0,127.0,,,,,,,,,,,15,15
1509,1.0,1.0,1.0,-1.0,,611.0,127.0,,,,,,,,,,,15,15
1551,1.0,1.0,1.0,-1.0,,615.0,127.0,,,,,,,,,,,15,15
1606,1.0,1.0,1.0,-1.0,,617.0,127.0,,,,,,,,,,,15,15
1659,1.0,1.0,1.0,-1.0,,617.0,127.0,,,,,,,,,,,15,15
1708,1.0,1.0,1.0,-1.0,,617.0,130.0,,,,,,,,,,,15,15
1751,1.0,1.0,1.0,-1.0,,617.0,136.0,,,,,,,,,,,15,15
1807,1.0,1.0,1.0,-1.0,,617.0,137.0,,,,,,,,,,,15,15
1858,1.0,1.0,1.0,-1.0,,617.0,137.0,,,,,,,,,,,15,15
1904,1.0,1.0,1.0,-1.0,,617.0,137.0,,,,,,,,,,,15,15
1954,1.0,1.0,1.0,-1.0,,617.0,140.0,,,,,,,,,,,15,15
2013,1.0,1.0,1.0,-1.0,,617.0,140.0,,,,,,,,,,,15,15
2056,1.0,1.0,1.0,-1.0,,618.0,141.0,,,,,,,,,,,15,15
2104,1.0,1.0,1.0,0.0, Hëna ,626.0,141.0,123.03125,621.375,143.03125,669.421875,,,,,,,15,15
2161,1.0,1.0,1.0,0.0, Hëna ,632.0,141.0,123.03125,621.375,143.03125,669.421875,,,,,,,15,15
2201,1.0,1.0,1.0,0.0, Hëna ,642.0,139.0,123.03125,621.375,143.03125,669.421875,,,,,,,15,15
2260,1.0,1.0,1.0,0.0, Hëna ,654.0,139.0,123.03125,621.375,143.03125,669.421875,,,,,,,15,15
2311,1.0,1.0,1.0,0.0, Hëna ,666.0,139.0,123.03125,621.375,143.03125,669.421875,,,,,,,15,15
2351,1.0,1.0,1.0,1.0, është ,676.0,139.0,123.03125,669.421875,143.03125,718.46875,,,,,,,15,15
2411,1.0,1.0,1.0,1.0, është ,678.0,139.0,123.03125,669.421875,143.03125,718.46875,,,,,,,15,15
2456,1.0,1.0,1.0,1.0, është ,678.0,139.0,123.03125,669.421875,143.03125,718.46875,,,,,,,15,15
2504,1.0,1.0,1.0,1.0, është ,681.0,139.0,123.03125,669.421875,143.03125,718.46875,,,,,,,15,15
2560,1.0,1.0,1.0,1.0, është ,691.0,139.0,123.03125,669.421875,143.03125,718.46875,,,,,,,15,15
2610,1.0,1.0,1.0,2.0, sateliti ,744.0,139.0,123.03125,718.46875,143.03125,774.5,,,,,,,15,15
2656,1.0,1.0,1.0,2.0, sateliti ,756.0,139.0,123.03125,718.46875,143.03125,774.5,,,,,,,15,15
2706,1.0,1.0,1.0,2.0, sateliti ,764.0,137.0,123.03125,718.46875,143.03125,774.5,,,,,,,15,15
2760,1.0,1.0,1.0,4.0, vetëm ,788.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
2810,1.0,1.0,1.0,4.0, vetëm ,811.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
2862,1.0,1.0,1.0,4.0, vetëm ,811.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
2912,1.0,1.0,1.0,4.0, vetëm ,813.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
2956,1.0,1.0,1.0,4.0, vetëm ,813.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
3001,1.0,1.0,1.0,4.0, vetëm ,817.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
3051,1.0,1.0,1.0,4.0, vetëm ,835.0,137.0,123.03125,783.5,143.03125,837.53125,,,,,,,15,15
3101,1.0,1.0,1.0,5.0, natyror ,854.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3161,1.0,1.0,1.0,5.0, natyror ,860.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3207,1.0,1.0,1.0,5.0, natyror ,881.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3261,1.0,1.0,1.0,5.0, natyror ,886.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3301,1.0,1.0,1.0,5.0, natyror ,887.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3353,1.0,1.0,1.0,5.0, natyror ,887.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3411,1.0,1.0,1.0,5.0, natyror ,889.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3460,1.0,1.0,1.0,5.0, natyror ,889.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3507,1.0,1.0,1.0,5.0, natyror ,891.0,140.0,123.03125,837.53125,143.03125,898.5625,,,,,,,15,15
3555,1.0,1.0,1.0,6.0, i ,899.0,140.0,123.03125,898.5625,143.03125,907.25,,,,,,,15,15
3604,1.0,1.0,1.0,7.0, Tokës. ,942.0,140.0,123.03125,907.25,143.03125,963.28125,,,,,,,15,15
3652,1.0,1.0,1.0,8.0, Ajo ,976.0,140.0,123.03125,963.28125,143.03125,994.3125,,,,,,,15,15
3713,1.0,1.0,1.0,8.0, Ajo ,978.0,140.0,123.03125,963.28125,143.03125,994.3125,,,,,,,15,15
3756,1.0,1.0,1.0,8.0, Ajo ,985.0,141.0,123.03125,963.28125,143.03125,994.3125,,,,,,,15,15
3802,1.0,1.0,1.0,9.0, rrotullohet ,999.0,145.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
3856,1.0,1.0,1.0,9.0, rrotullohet ,1013.0,145.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
3903,1.0,1.0,1.0,9.0, rrotullohet ,1015.0,145.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
3952,1.0,1.0,1.0,9.0, rrotullohet ,1019.0,145.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
4002,1.0,1.0,1.0,9.0, rrotullohet ,1024.0,143.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
4053,1.0,1.0,1.0,9.0, rrotullohet ,1035.0,141.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
4104,1.0,1.0,1.0,9.0, rrotullohet ,1067.0,141.0,123.03125,994.3125,143.03125,1079.359375,,,,,,,15,15
4153,1.0,1.0,1.0,10.0, rreth ,1094.0,139.0,123.03125,1079.359375,143.03125,1121.046875,,,,,,,15,15
4203,1.0,1.0,1.0,10.0, rreth ,1106.0,138.0,123.03125,1079.359375,143.03125,1121.046875,,,,,,,15,15
4265,1.0,1.0,1.0,11.0, Tokës ,1139.0,136.0,123.03125,1121.046875,143.03125,1173.078125,,,,,,,15,15
4304,1.0,1.0,1.0,11.0, Tokës ,1153.0,132.0,123.03125,1121.046875,143.03125,1173.078125,,,,,,,15,15
4356,1.0,1.0,1.0,11.0, Tokës ,1158.0,132.0,123.03125,1121.046875,143.03125,1173.078125,,,,,,,15,15
4403,1.0,1.0,1.0,11.0, Tokës ,1172.0,128.0,123.03125,1121.046875,143.03125,1173.078125,,,,,,,15,15
4464,1.0,1.0,1.0,12.0, në ,1194.0,127.0,123.03125,1173.078125,143.03125,1198.109375,,,,,,,15,15
4501,1.0,1.0,1.0,13.0, një ,1204.0,125.0,123.03125,1198.109375,143.03125,1222.140625,,,,,,,15,15
4555,1.0,1.0,1.0,13.0, një ,1208.0,125.0,123.03125,1198.109375,143.03125,1222.140625,,,,,,,15,15
4611,1.0,1.0,1.0,13.0, një ,1214.0,125.0,123.03125,1198.109375,143.03125,1222.140625,,,,,,,15,15
4651,1.0,1.0,1.0,13.0, një ,1217.0,125.0,123.03125,1198.109375,143.03125,1222.140625,,,,,,,15,15
4700,1.0,1.0,1.0,-1.0,,1224.0,127.0,,,,,,,,,,,15,15
4750,1.0,1.0,1.0,13.0, një ,1219.0,130.0,123.03125,1198.109375,143.03125,1222.140625,,,,,,,15,15
4801,1.0,1.0,1.0,10.0, rreth ,1104.0,145.0,123.03125,1079.359375,143.03125,1121.046875,,,,,,,15,15
4851,1.0,1.0,1.0,-1.0,,896.0,149.0,,,,,,,,,,,15,15
4903,1.0,1.0,1.0,-1.0,,701.0,158.0,,,,,,,,,,,15,15
4951,1.0,1.0,1.0,14.0, distancë ,641.0,168.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5002,1.0,1.0,1.0,-1.0,,619.0,176.0,,,,,,,,,,,15,15
5052,1.0,1.0,1.0,-1.0,,613.0,180.0,,,,,,,,,,,15,15
5101,1.0,1.0,1.0,-1.0,,613.0,180.0,,,,,,,,,,,15,15
5151,1.0,1.0,1.0,-1.0,,613.0,181.0,,,,,,,,,,,15,15
5200,1.0,1.0,1.0,-1.0,,613.0,181.0,,,,,,,,,,,15,15
5253,1.0,1.0,1.0,-1.0,,613.0,176.0,,,,,,,,,,,15,15
5302,1.0,1.0,1.0,-1.0,,619.0,176.0,,,,,,,,,,,15,15
5352,1.0,1.0,1.0,14.0, distancë ,637.0,175.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5404,1.0,1.0,1.0,14.0, distancë ,640.0,175.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5452,1.0,1.0,1.0,14.0, distancë ,643.0,175.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5502,1.0,1.0,1.0,14.0, distancë ,646.0,175.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5551,1.0,1.0,1.0,14.0, distancë ,652.0,175.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5602,1.0,1.0,1.0,14.0, distancë ,664.0,171.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5651,1.0,1.0,1.0,14.0, distancë ,665.0,171.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5702,1.0,1.0,1.0,14.0, distancë ,675.0,170.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5752,1.0,1.0,1.0,14.0, distancë ,680.0,170.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5804,1.0,1.0,1.0,14.0, distancë ,688.0,170.0,163.03125,621.375,183.03125,693.421875,,,,,,,15,15
5851,1.0,1.0,1.0,15.0, mesatare ,698.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
5903,1.0,1.0,1.0,15.0, mesatare ,707.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
5953,1.0,1.0,1.0,15.0, mesatare ,714.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6002,1.0,1.0,1.0,15.0, mesatare ,726.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6051,1.0,1.0,1.0,15.0, mesatare ,727.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6114,1.0,1.0,1.0,15.0, mesatare ,729.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6151,1.0,1.0,1.0,15.0, mesatare ,731.0,170.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6202,1.0,1.0,1.0,15.0, mesatare ,751.0,172.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6254,1.0,1.0,1.0,15.0, mesatare ,751.0,172.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6302,1.0,1.0,1.0,15.0, mesatare ,754.0,173.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6353,1.0,1.0,1.0,15.0, mesatare ,759.0,175.0,163.03125,693.421875,183.03125,773.46875,,,,,,,15,15
6402,1.0,1.0,1.0,16.0, prej ,773.0,177.0,163.03125,773.46875,183.03125,808.484375,,,,,,,15,15
6455,1.0,1.0,1.0,16.0, prej ,788.0,178.0,163.03125,773.46875,183.03125,808.484375,,,,,,,15,15
6505,1.0,1.0,1.0,16.0, prej ,792.0,178.0,163.03125,773.46875,183.03125,808.484375,,,,,,,15,15
6554,1.0,1.0,1.0,16.0, prej ,803.0,178.0,163.03125,773.46875,183.03125,808.484375,,,,,,,15,15
6604,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6651,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6702,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6765,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6812,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6859,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6906,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
6954,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7016,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7064,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7110,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7157,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7204,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7252,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7315,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7361,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7408,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7455,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7503,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7566,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7613,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7660,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7707,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7754,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7801,1.0,1.0,1.0,17.0, 384400 ,833.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7854,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7907,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
7956,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8004,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8051,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8113,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8160,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8207,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8255,1.0,1.0,1.0,17.0, 384400 ,834.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8307,1.0,1.0,1.0,17.0, 384400 ,836.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8356,1.0,1.0,1.0,17.0, 384400 ,836.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8403,1.0,1.0,1.0,17.0, 384400 ,836.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8457,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8506,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8554,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8616,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8663,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8710,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8757,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8805,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8852,1.0,1.0,1.0,17.0, 384400 ,837.0,178.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8908,1.0,1.0,1.0,17.0, 384400 ,839.0,179.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
8962,1.0,1.0,1.0,17.0, 384400 ,840.0,180.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9024,1.0,1.0,1.0,17.0, 384400 ,841.0,180.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9060,1.0,1.0,1.0,17.0, 384400 ,843.0,180.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9108,1.0,1.0,1.0,17.0, 384400 ,843.0,180.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9156,1.0,1.0,1.0,17.0, 384400 ,843.0,180.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9209,1.0,1.0,1.0,17.0, 384400 ,846.0,180.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9256,1.0,1.0,1.0,17.0, 384400 ,851.0,179.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9301,1.0,1.0,1.0,17.0, 384400 ,854.0,179.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9360,1.0,1.0,1.0,17.0, 384400 ,857.0,179.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9410,1.0,1.0,1.0,17.0, 384400 ,859.0,179.0,163.03125,808.484375,183.03125,873.5625,,,,,,,15,15
9463,1.0,1.0,1.0,18.0, km ,894.0,179.0,163.03125,873.5625,183.03125,902.5625,,,,,,,15,15
9509,1.0,1.0,1.0,19.0, (238900 ,921.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9551,1.0,1.0,1.0,19.0, (238900 ,924.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9601,1.0,1.0,1.0,19.0, (238900 ,926.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9651,1.0,1.0,1.0,19.0, (238900 ,927.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9726,1.0,1.0,1.0,19.0, (238900 ,929.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9762,1.0,1.0,1.0,19.0, (238900 ,930.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9800,1.0,1.0,1.0,19.0, (238900 ,935.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9859,1.0,1.0,1.0,19.0, (238900 ,952.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9910,1.0,1.0,1.0,19.0, (238900 ,961.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
9960,1.0,1.0,1.0,19.0, (238900 ,961.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10007,1.0,1.0,1.0,19.0, (238900 ,961.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10060,1.0,1.0,1.0,19.0, (238900 ,962.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10104,1.0,1.0,1.0,19.0, (238900 ,962.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10151,1.0,1.0,1.0,19.0, (238900 ,962.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10214,1.0,1.0,1.0,19.0, (238900 ,962.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10251,1.0,1.0,1.0,19.0, (238900 ,965.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10308,1.0,1.0,1.0,19.0, (238900 ,968.0,179.0,163.03125,902.5625,183.03125,973.625,,,,,,,15,15
10363,1.0,1.0,1.0,20.0, mi; ,981.0,180.0,163.03125,973.625,183.03125,1002.625,,,,,,,15,15
10402,1.0,1.0,1.0,20.0, mi; ,990.0,180.0,163.03125,973.625,183.03125,1002.625,,,,,,,15,15
10453,1.0,1.0,1.0,20.0, mi; ,997.0,182.0,163.03125,973.625,183.03125,1002.625,,,,,,,15,15
10504,1.0,1.0,1.0,21.0, 1.28 ,1006.0,182.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10551,1.0,1.0,1.0,21.0, 1.28 ,1009.0,182.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10601,1.0,1.0,1.0,21.0, 1.28 ,1014.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10656,1.0,1.0,1.0,21.0, 1.28 ,1018.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10712,1.0,1.0,1.0,21.0, 1.28 ,1020.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10760,1.0,1.0,1.0,21.0, 1.28 ,1020.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10807,1.0,1.0,1.0,21.0, 1.28 ,1020.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10855,1.0,1.0,1.0,21.0, 1.28 ,1020.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10902,1.0,1.0,1.0,21.0, 1.28 ,1020.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
10964,1.0,1.0,1.0,21.0, 1.28 ,1020.0,181.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
11002,1.0,1.0,1.0,21.0, 1.28 ,1023.0,179.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
11053,1.0,1.0,1.0,21.0, 1.28 ,1027.0,179.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
11113,1.0,1.0,1.0,21.0, 1.28 ,1034.0,179.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
11153,1.0,1.0,1.0,21.0, 1.28 ,1040.0,179.0,163.03125,1002.625,183.03125,1042.671875,,,,,,,15,15
11214,1.0,1.0,1.0,22.0," ls), ",1051.0,179.0,163.03125,1042.671875,183.03125,1071.671875,,,,,,,15,15
11252,1.0,1.0,1.0,22.0," ls), ",1054.0,179.0,163.03125,1042.671875,183.03125,1071.671875,,,,,,,15,15
11304,1.0,1.0,1.0,22.0," ls), ",1065.0,179.0,163.03125,1042.671875,183.03125,1071.671875,,,,,,,15,15
11364,1.0,1.0,1.0,23.0, ose ,1073.0,179.0,163.03125,1071.671875,183.03125,1105.703125,,,,,,,15,15
11408,1.0,1.0,1.0,23.0, ose ,1073.0,179.0,163.03125,1071.671875,183.03125,1105.703125,,,,,,,15,15
11456,1.0,1.0,1.0,23.0, ose ,1076.0,179.0,163.03125,1071.671875,183.03125,1105.703125,,,,,,,15,15
11506,1.0,1.0,1.0,23.0, ose ,1080.0,179.0,163.03125,1071.671875,183.03125,1105.703125,,,,,,,15,15
11550,1.0,1.0,1.0,23.0, ose ,1090.0,179.0,163.03125,1071.671875,183.03125,1105.703125,,,,,,,15,15
11601,1.0,1.0,1.0,24.0, rreth ,1112.0,179.0,163.03125,1105.703125,183.03125,1147.71875,,,,,,,15,15
11652,1.0,1.0,1.0,24.0, rreth ,1129.0,179.0,163.03125,1105.703125,183.03125,1147.71875,,,,,,,15,15
11700,1.0,1.0,1.0,25.0, 30 ,1159.0,179.0,163.03125,1147.71875,183.03125,1172.75,,,,,,,15,15
11750,1.0,1.0,1.0,26.0, herë ,1173.0,179.0,163.03125,1172.75,183.03125,1213.78125,,,,,,,15,15
