responseTime,Experiment,Condition,ItemId,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,device,hand,experiment_start_time,experiment_end_time,experiment_duration,submission_id,SubjectID
728,1.0,1.0,1.0,-1.0,577.0,343.0,,,,,,,,,1733348537911.0,1733349002954.0,465043.0,28,28
778,1.0,1.0,1.0,-1.0,487.0,211.0,,,,,,,,,,,,28,28
828,1.0,1.0,1.0,1.0,390.0,83.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,28,28
1178,1.0,1.0,1.0,-1.0,344.0,45.0,,,,,,,,,,,,28,28
1238,1.0,1.0,1.0,-1.0,344.0,57.0,,,,,,,,,,,,28,28
1278,1.0,1.0,1.0,-1.0,345.0,61.0,,,,,,,,,,,,28,28
1333,1.0,1.0,1.0,-1.0,346.0,62.0,,,,,,,,,,,,28,28
1378,1.0,1.0,1.0,-1.0,347.0,65.0,,,,,,,,,,,,28,28
1431,1.0,1.0,1.0,0.0,349.0,67.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1478,1.0,1.0,1.0,0.0,351.0,69.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1528,1.0,1.0,1.0,0.0,362.0,75.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1580,1.0,1.0,1.0,0.0,374.0,82.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1628,1.0,1.0,1.0,0.0,378.0,84.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1686,1.0,1.0,1.0,0.0,379.0,86.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1739,1.0,1.0,1.0,0.0,380.0,86.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1780,1.0,1.0,1.0,0.0,381.0,86.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1833,1.0,1.0,1.0,0.0,383.0,87.0, Hëna ,67.140625,339.875,87.140625,387.921875,,,,,,,28,28
1879,1.0,1.0,1.0,1.0,387.0,87.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,28,28
1928,1.0,1.0,1.0,1.0,395.0,88.0, është ,67.140625,387.921875,87.140625,436.96875,,,,,,,28,28
1978,1.0,1.0,1.0,-1.0,412.0,93.0,,,,,,,,,,,,28,28
2036,1.0,1.0,1.0,-1.0,421.0,94.0,,,,,,,,,,,,28,28
2078,1.0,1.0,1.0,-1.0,432.0,96.0,,,,,,,,,,,,28,28
2130,1.0,1.0,1.0,-1.0,448.0,98.0,,,,,,,,,,,,28,28
2185,1.0,1.0,1.0,-1.0,465.0,100.0,,,,,,,,,,,,28,28
2239,1.0,1.0,1.0,-1.0,484.0,102.0,,,,,,,,,,,,28,28
2281,1.0,1.0,1.0,-1.0,498.0,102.0,,,,,,,,,,,,28,28
2340,1.0,1.0,1.0,-1.0,506.0,102.0,,,,,,,,,,,,28,28
2388,1.0,1.0,1.0,-1.0,512.0,102.0,,,,,,,,,,,,28,28
2429,1.0,1.0,1.0,-1.0,522.0,102.0,,,,,,,,,,,,28,28
2490,1.0,1.0,1.0,-1.0,533.0,101.0,,,,,,,,,,,,28,28
2537,1.0,1.0,1.0,-1.0,556.0,99.0,,,,,,,,,,,,28,28
2585,1.0,1.0,1.0,-1.0,577.0,98.0,,,,,,,,,,,,28,28
2629,1.0,1.0,1.0,-1.0,608.0,97.0,,,,,,,,,,,,28,28
2686,1.0,1.0,1.0,-1.0,635.0,95.0,,,,,,,,,,,,28,28
2735,1.0,1.0,1.0,-1.0,641.0,95.0,,,,,,,,,,,,28,28
2791,1.0,1.0,1.0,-1.0,641.0,95.0,,,,,,,,,,,,28,28
2837,1.0,1.0,1.0,-1.0,641.0,95.0,,,,,,,,,,,,28,28
2885,1.0,1.0,1.0,-1.0,641.0,95.0,,,,,,,,,,,,28,28
2932,1.0,1.0,1.0,-1.0,641.0,95.0,,,,,,,,,,,,28,28
2979,1.0,1.0,1.0,-1.0,641.0,95.0,,,,,,,,,,,,28,28
3028,1.0,1.0,1.0,-1.0,647.0,93.0,,,,,,,,,,,,28,28
3079,1.0,1.0,1.0,8.0,683.0,89.0, Ajo ,67.140625,681.78125,87.140625,712.8125,,,,,,,28,28
3134,1.0,1.0,1.0,9.0,720.0,89.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3181,1.0,1.0,1.0,9.0,729.0,89.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3229,1.0,1.0,1.0,9.0,731.0,89.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3281,1.0,1.0,1.0,9.0,734.0,89.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3333,1.0,1.0,1.0,9.0,740.0,89.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3379,1.0,1.0,1.0,9.0,750.0,86.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3433,1.0,1.0,1.0,9.0,761.0,81.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3488,1.0,1.0,1.0,9.0,775.0,76.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3528,1.0,1.0,1.0,9.0,788.0,73.0, rrotullohet ,67.140625,712.8125,87.140625,797.859375,,,,,,,28,28
3587,1.0,1.0,1.0,10.0,803.0,72.0, rreth ,67.140625,797.859375,87.140625,839.546875,,,,,,,28,28
3628,1.0,1.0,1.0,10.0,810.0,72.0, rreth ,67.140625,797.859375,87.140625,839.546875,,,,,,,28,28
